,abbrev,full,freq,most_freq
0,$k$-monogr.,['$k$-monographs'],{'$k$-monographs': 1.0},$k$-monographs
1,-,"['–', '--']","{'–': 0.5, '--': 0.5}",–
2,-geol.,"['-geologie', '-geologie']",{'-geologie': 1.0},-geologie
3,.r.,"['rendus', 'rendus']",{'rendus': 1.0},rendus
4,11,['fisica'],{'fisica': 1.0},fisica
5,12,['fisica'],{'fisica': 1.0},fisica
6,1953,['1953.'],{'1953.': 1.0},1953.
7,1956,['island'],{'island': 1.0},island
8,2,['ii'],{'ii': 1.0},ii
9,3,['grenzgebiete'],{'grenzgebiete': 1.0},grenzgebiete
10,3rd,['3d.'],{'3d.': 1.0},3d.
11,4,['applicata'],{'applicata': 1.0},applicata
12,7,['applicazioni'],{'applicazioni': 1.0},applicazioni
13,[a],['part'],{'part': 1.0},part
14,[atmos.],['[atmospheres]'],{'[atmospheres]': 1.0},[atmospheres]
15,[biogeosci.],['[biogeosciences]'],{'[biogeosciences]': 1.0},[biogeosciences]
16,[biol.],['biologiia'],{'biologiia': 1.0},biologiia
17,[biol],"['a.4', 'biologiia']","{'a.4': 0.5, 'biologiia': 0.5}",a.4
18,[bull.,['[bulletin'],{'[bulletin': 1.0},[bulletin
19,[chin.,['[chinese'],{'[chinese': 1.0},[chinese
20,[collana],['collana'],{'collana': 1.0},collana
21,[inf.],['informations'],{'informations': 1.0},informations
22,[inf],['informations'],{'informations': 1.0},informations
23,[inorg.,['[inorganic'],{'[inorganic': 1.0},[inorganic
24,[instrum.,['[instruments'],{'[instruments': 1.0},[instruments
25,[izv.,"['[izvestiya', '[izvestiya']",{'[izvestiya': 1.0},[izvestiya
26,[j.,['[journal'],{'[journal': 1.0},[journal
27,[klin],['klinik-ausg.'],{'klinik-ausg.': 1.0},klinik-ausg.
28,[med,"['medical', 'medical', 'medical', 'medical']",{'medical': 1.0},medical
29,[med.,"['medical', 'medical', 'medical', 'medical']",{'medical': 1.0},medical
30,[med.],['medizin'],{'medizin': 1.0},medizin
31,[med],"['d', 'medizin']","{'d': 0.5, 'medizin': 0.5}",d
32,[midwest,['midwest'],{'midwest': 1.0},midwest
33,[midwest.,['midwest'],{'midwest': 1.0},midwest
34,[monogr.],['monograph'],{'monograph': 1.0},monograph
35,[monogr],['mongraph'],{'mongraph': 1.0},mongraph
36,[nat.,['section'],{'section': 1.0},section
37,[opt.,['[optics'],{'[optics': 1.0},[optics
38,[phys.,['[physics'],{'[physics': 1.0},[physics
39,[prax],['praxis-ausg.'],{'praxis-ausg.': 1.0},praxis-ausg.
40,[proc.],['[proceedings]'],{'[proceedings]': 1.0},[proceedings]
41,[quad.],['quaderni'],{'quaderni': 1.0},quaderni
42,[radiol.,['radiological'],{'radiological': 1.0},radiological
43,[russ.,['[russian'],{'[russian': 1.0},[russian
44,[ser,['series'],{'series': 1.0},series
45,[sonderb.],['sonderbande'],{'sonderbande': 1.0},sonderbande
