ACS Applied Materials & Interfaces;ACS Appl. Mater. Interfaces
ACS Applied Nano Materials;ACS Appl. Nano Mater.
ACS Biomaterials Science & Engineering;ACS Biomater. Sci. Eng.
ACS Catalysis;ACS Catal.
ACS Central Science;ACS Cent. Sci.
ACS Chemical Biology;ACS Chem. Biol.
ACS Chemical Neuroscience;ACS Chem. Neurosci.
ACS Combinatorial Science;ACS Comb. Sci.
ACS Energy Letters;ACS Energy Lett.
ACS Infectious Diseases;ACS Infect. Dis.
ACS Macro Letters;ACS Macro Lett.
ACS Medicinal Chemistry Letters;ACS Med. Chem. Lett.
ACS Nano;ACS Nano
ACS Photonics;ACS Photonics
ACS Sensors;ACS Sens.
ACS Sustainable Chemistry & Engineering;ACS Sustainable Chem. Eng.
ACS Symposium Series;ACS Symp. Ser.
ACS Synthetic Biology;ACS Synth. Biol.
AIChE Journal;AIChE J.
ARKIVOC (Gainesville, FL, United States);ARKIVOC (Gainesville, FL, U. S.)
Accounts of Chemical Research;Acc. Chem. Res.
Acta Biochimica Polonica;Acta Biochim. Pol.
Acta Chimica Slovaca;Acta Chim. Slovaca
Acta Chimica Slovenica;Acta Chim. Slov.
Acta Crystallographica, Section A: Foundations and Advances;Acta Crystallogr., Sect. A: Found. Adv.
Acta Crystallographica, Section B: Structural Science, Crystal Engineering and Materials;Acta Crystallogr., Sect. B: Struct. Sci., Cryst. Eng. Mater.
Acta Crystallographica, Section C: Structural Chemistry;Acta Crystallogr., Sect. C: Struct. Chem.
Acta Crystallographica, Section D: Biological Crystallography;Acta Crystallogr., Sect. D: Biol. Crystallogr.
Acta Crystallographica, Section E: Crystallographic Communications;Acta Crystallogr., Sect. E: Crystallogr. Commun.
Acta Crystallographica, Section F: Structural Biology Communications;Acta Crystallogr., Sect. F: Struct. Biol. Commun.
Acta Materialia;Acta Mater.
Acta Pharmaceutica (Zagreb, Croatia);Acta Pharm. (Zagreb, Croatia)
Acta Pharmacologica Sinica;Acta Pharmacol. Sin.
Acta Physica Polonica A;Acta Phys. Pol. A
Acta Physiologica;Acta Physiol.
Adsorption;Adsorption
Adsorption Science & Technology;Adsorpt. Sci. Technol.
Advanced Drug Delivery Reviews;Adv. Drug Delivery Rev.
Advanced Electronic Materials;Adv. Electron. Mater.
Advanced Energy Materials;Adv. Energy Mater.
Advanced Functional Materials;Adv. Funct. Mater.
Advanced Healthcare Materials;Adv. Healthcare Mater.
Advanced Materials;Adv. Mater.
Advanced Materials (Weinheim, Germany);Adv. Mater. (Weinheim, Ger.)
Advances Materials Technologies;Adv. Mat. Technol.
Advanced Optical Materials;Adv. Opt. Mater.
Advanced Synthesis & Catalysis;Adv. Synth. Catal.
Advances in Applied Ceramics;Adv. Appl. Ceram.
Advances in Chemical Physics;Adv. Chem. Phys.
Advances in Chromatography (Boca Raton, FL, United States);Adv. Chromatogr. (Boca Raton, FL, U. S.)
Advances in Colloid and Interface Science;Adv. Colloid Interface Sci.
Advances in Electrochemical Science and Engineering;Adv. Electrochem. Sci. Eng.
Advances in Enzyme Research;Adv. Enzyme Res.
Advances in Inorganic Chemistry;Adv. Inorg. Chem.
Advances in Polymer Science;Adv. Polym. Sci.
Advances in Polymer Technology;Adv. Polym. Technol.
Advances in X-Ray Analysis;Adv. X-Ray Anal.
Aerosol Science and Technology;Aerosol Sci. Technol.
Afinidad;Afinidad
Aging Cell;Aging Cell
American Ceramic Society Bulletin;Am. Ceram. Soc. Bull.
American Chemical Science Journal;Am. Chem. Sci. J.
American Journal of Clinical Nutrition;Am. J. Clin. Nutr.
American Journal of Human Genetics;Am. J. Hum. Genet.
American Journal of Physiology;Am. J. Physiol.
American journal of physiology. Gastrointestinal and liver physiology;Am. J. Physiol. Gastrointest. Liver Physiol.
American Journal of Respiratory Cell and Molecular Biology;Am. J. Respir. Cell Mol. Biol.
Amino Acids;Amino Acids
Analyst (Cambridge, United Kingdom);Analyst (Cambridge, U. K.)
Analytica Chimica Acta;Anal. Chim. Acta
Analytical Biochemistry;Anal. Biochem.
Analytical Chemistry (Washington, DC, United States);Anal. Chem. (Washington, DC, U. S.)
Analytical Chemistry Letters;Anal. Chem. Lett.
Analytical Letters;Anal. Lett.
Analytical Sciences;Anal. Sci.
Analytical and Bioanalytical Chemistry;Anal. Bioanal. Chem.
Angewandte Chemie, International Edition;Angew. Chem., Int. Ed.
Annales Pharmaceutiques Francaises;Ann. Pharm. Fr.
Annales de Chimie (Cachan, France);Ann. Chim. (Cachan, Fr.)
Annals of internal medicine;Ann. Intern. Med.
Annals of Nuclear Energy;Ann. Nucl. Energy
Annals of Nutrition & Metabolism;Ann. Nutr. Metab.
Annals of Plastic Surgery;Ann. Plast. Surg.
Annual Review of Biochemistry;Annu. Rev. Biochem.
Annual Review of Biomedical Engineering;Annu. Rev. Biomed. Eng.
Annual Review of Biophysics;Annu. Rev. Biophys.
Annual Review of Cell and Developmental Biology;Annu. Rev. Cell Dev. Biol.
Annual Review of Earth and Planetary Sciences;Annu. Rev. Earth Planet. Sci.
Annual Review of Entomology;Annu. Rev. Entomol.
Annual Review of Genetics;Annu. Rev. Genet.
Annual Review of Genomics and Human Genetics;Annu. Rev. Genomics Hum. Genet.
Annual Review of Immunology;Annu. Rev. Immunol.
Annual Review of Materials Research;Annu. Rev. Mater. Res.
Annual Review of Medicine;Annu. Rev. Med.
Annual Review of Microbiology;Annu. Rev. Microbiol.
Annual Review of Neuroscience;Annu. Rev. Neurosci.
Annual Review of Nuclear and Particle Science;Annu. Rev. Nucl. Part. Sci.
Annual Review of Nutrition;Annu. Rev. Nutr.
Annual Review of Pathology: Mechanisms of Disease;Annu. Rev. Pathol.: Mech. Dis.
Annual Review of Pharmacology and Toxicology;Annu. Rev. Pharmacol. Toxicol.
Annual Review of Physical Chemistry;Annu. Rev. Phys. Chem.
Annual Review of Physiology;Annu. Rev. Physiol.
Annual Review of Phytopathology;Annu. Rev. Phytopathol.
Annual Review of Plant Biology;Annu. Rev. Plant Biol.
Annual Review of Virology;Annu. Rev. Virol.
Anti-Cancer Agents in Medicinal Chemistry;Anti-Cancer Agents Med. Chem.
Anti-Cancer Drugs;Anti-Cancer Drugs
Anti-Infective Agents;Anti-Infect. Agents
Anti-Inflammatory & Anti-Allergy Agents in Medicinal Chemistry;Anti-Inflammatory Anti-Allergy Agents Med. Chem.
Antibiotics (Basel, Switzerland);Antibiotics (Basel, Switz.)
Antibiotiki i Khimioterapiya;Antibiot. Khimioter.
Antimicrobial Agents and Chemotherapy;Antimicrob. Agents Chemother.
Antioxidants;Antioxidants
Antioxidants & Redox Signaling;Antioxid. Redox Signaling
Antiviral Research;Antiviral Res.
Applied Biochemistry and Biotechnology;Appl. Biochem. Biotechnol.
Applied Biochemistry and Microbiology;Appl. Biochem. Microbiol.
Applied Catalysis, A: General;Appl. Catal., A
Applied Catalysis, B: Environmental;Appl. Catal., B
Applied Clay Science;Appl. Clay Sci.
Applied Geochemistry;Appl. Geochem.
Applied Microbiology and Biotechnology;Appl. Microbiol. Biotechnol.
Applied Nanoscience;Appl. Nanosci.
Applied Organometallic Chemistry;Appl. Organomet. Chem.
Applied Physics A: Materials Science & Processing;Appl. Phys. A: Mater. Sci. Process.
Applied Physics B: Lasers and Optics;Appl. Phys. B: Lasers Opt.
Applied Physics Express;Appl. Phys. Express
Applied Physics Letters;Appl. Phys. Lett.
Applied Physics Reviews;Appl. Phys. Rev.
Applied Radiation and Isotopes;Appl. Radiat. Isot.
Applied Spectroscopy;Appl. Spectrosc.
Applied Surface Science;Appl. Surf. Sci.
Applied and Environmental Microbiology;Appl. Environ. Microbiol.
Aquatic Toxicology;Aquat. Toxicol.
Archaea;Archaea
Archiv der Pharmazie (Weinheim, Germany);Arch. Pharm. (Weinheim, Ger.)
Archives of Biochemistry and Biophysics;Arch. Biochem. Biophys.
Archives of Environmental Contamination and Toxicology;Arch. Environ. Contam. Toxicol.
Archives of Insect Biochemistry and Physiology;Arch. Insect Biochem. Physiol.
Archives of Microbiology;Arch. Microbiol.
Archives of Pharmacal Research;Arch. Pharmacal Res.
Archives of Physiology and Biochemistry;Arch. Physiol. Biochem.
Archives of Toxicology;Arch. Toxicol.
Archives of Virology;Arch. Virol.
Archivum immunologiae et therapiae experimentalis;Arch. Immunol. Ther. Exp.
Arteriosclerosis, Thrombosis, and Vascular Biology;Arterioscler., Thromb., Vasc. Biol.
Asia-Pacific Journal of Chemical Engineering;Asia-Pac. J. Chem. Eng.
Asian Journal of Chemistry;Asian J. Chem.
Asian Journal of Organic Chemistry;Asian J. Org. Chem.
Assay and Drug Development Technologies;Assay Drug Dev. Technol.
Atherosclerosis (Amsterdam, Netherlands);Atherosclerosis (Amsterdam, Neth.)
Atmospheric Chemistry and Physics;Atmos. Chem. Phys.
Atmospheric Environment;Atmos. Environ.
Atomic Energy (New York, NY, United States);At. Energy (N. Y., NY, U. S.)
Atomic Spectroscopy;At. Spectrosc.
Australian Journal of Chemistry;Aust. J. Chem.
Autonomic & Autacoid Pharmacology;Auton. Autacoid Pharmacol.
Azerbaidzhanskii Khimicheskii Zhurnal;Azerb. Khim. Zh.
BMB Reports;BMB Rep.
Basic & Clinical Pharmacology & Toxicology;Basic Clin. Pharmacol. Toxicol.
Beilstein Journal of Nanotechnology;Beilstein J. Nanotechnol.
Beilstein Journal of Organic Chemistry;Beilstein J. Org. Chem.
BioChemistry: An Indian Journal;BioChem.: Indian J.
BioChip Journal;BioChip J.
BioFactors;BioFactors
BioInorganic Reaction Mechanisms;BioInorg. React. Mech.
BioMetals;BioMetals
BioResources;BioResources
BioTechniques;BioTechniques
Bioactive Carbohydrates and Dietary Fibre;Bioact. Carbohydr. Diet. Fibre
Bioanalysis;Bioanalysis
Biocatalysis and Biotransformation;Biocatal. Biotransform.
Biochemical Genetics;Biochem. Genet.
Biochemical Journal;Biochem. J.
Biochemical Pharmacology (Amsterdam, Netherlands);Biochem. Pharmacol. (Amsterdam, Neth.)
Biochemical Society Transactions;Biochem. Soc. Trans.
Biochemical Systematics and Ecology;Biochem. Syst. Ecol.
Biochemical and Biophysical Research Communications;Biochem. Biophys. Res. Commun.
Biochemistry;Biochemistry
Biochemistry (Moscow);Biochemistry (Mosc.)
Biochemistry and Cell Biology;Biochem. Cell Biol.
Biochemistry and Molecular Biology Education;Biochem. Mol. Biol. Educ.
Biochimica et Biophysica Acta, Bioenergetics;Biochim. Biophys. Acta, Bioenerg.
iochimica et Biophysica Acta, Biomembranes;Biochim. Biophys. Acta, Biomembr.
iochimica et Biophysica Acta, Biomembranes;Biochim. Biophys. Acta, Biomembr.
Biochimica et Biophysica Acta, Gene Regulatory Mechanisms;Biochim. Biophys. Acta, Gene Regul. Mech.
Biochimica et Biophysica Acta, General Subjects;Biochim. Biophys. Acta, Gen. Subj.
Biochimica et Biophysica Acta, Molecular Basis of Disease;Biochim. Biophys. Acta, Mol. Basis Dis.
Biochimica et Biophysica Acta, Molecular Cell Research;Biochim. Biophys. Acta, Mol. Cell Res.
Biochimica et Biophysica Acta, Molecular and Cell Biology of Lipids;Biochim. Biophys. Acta, Mol. Cell Biol. Lipids
Biochimica et Biophysica Acta, Proteins and Proteomics;Biochim. Biophys. Acta, Proteins Proteomics
Biochimica et Biophysica Acta, Reviews on Cancer;Biochim. Biophys. Acta, Rev. Cancer
Biochimie;Biochimie
Bioconjugate Chemistry;Bioconjugate Chem.
Bioelectrochemistry;Bioelectrochemistry
Biofuels;Biofuels
Biofuels, Bioproducts & Biorefining;Biofuels, Bioprod. Biorefin.
Biogenic Amines;Biog. Amines
Bioinformatics;Bioinformatics
Bioinorganic Chemistry and Applications;Bioinorg. Chem. Appl.
Biological & Pharmaceutical Bulletin;Biol. Pharm. Bull.
Biological Chemistry;Biol. Chem.
Biological Trace Element Research;Biol. Trace Elem. Res.
Biologicheskie Membrany;Biol. Membr.
Biology of Reproduction;Biol. Reprod.
Biomacromolecular Mass Spectrometry;Biomacromol. Mass Spectrom.
Biomacromolecules;Biomacromolecules
Biomarkers;Biomarkers
Biomarkers in Medicine;Biomarkers Med.
Biomaterials;Biomaterials
Biomaterials Science;Biomater. Sci.
Biomedical Chromatography;Biomed. Chromatogr.
Biomedical Materials (Bristol, United Kingdom);Biomed. Mater. (Bristol, U. K.)
Biomedical Research;Biomed. Res.
Biomeditsinskaya Khimiya;Biomed. Khim.
Biomolecular Concepts;Biomol. Concepts
Biomolecular NMR Assignments;Biomol. NMR Assignments
Biomolecules;Biomolecules
Bioorganic & Medicinal Chemistry;Bioorg. Med. Chem.
Bioorganic & Medicinal Chemistry Letters;Bioorg. Med. Chem. Lett.
Bioorganic Chemistry;Bioorg. Chem.
Biopharmaceutics & Drug Disposition;Biopharm. Drug Dispos.
Biophysical Chemistry;Biophys. Chem.
Biophysical Journal;Biophys. J.
Biophysics (English Translation);Biophysics (Engl. Transl.)
Biopolymers;Biopolymers
Bioprocess and Biosystems Engineering;Bioprocess Biosyst. Eng.
Bioresource Technology;Bioresour. Technol.
Bioscience Reports;Biosci. Rep.
Bioscience, Biotechnology, and Biochemistry;Biosci., Biotechnol., Biochem.
Biosensors & Bioelectronics;Biosens. Bioelectron.
Biotechnology Journal;Biotechnol. J.
Biotechnology Letters;Biotechnol. Lett.
Biotechnology Progress;Biotechnol. Prog.
Biotechnology and Applied Biochemistry;Biotechnol. Appl. Biochem.
Biotechnology and Bioengineering;Biotechnol. Bioeng.
Biotechnology and Bioprocess Engineering;Biotechnol. Bioprocess Eng.
Birth Defects Research, Part A: Clinical and Molecular Teratology;Birth Defects Res., Part A
Birth Defects Research, Part B: Developmental and Reproductive Toxicology;Birth Defects Res., Part B
Birth Defects Research, Part C: Embryo Today--Reviews;Birth Defects Res., Part C
Bitamin;Bitamin
Blood;Blood
Bone Research;Bone Res.
Bopuxue Zazhi;Bopuxue Zazhi
BrJAC--Brazilian Journal of Analytical Chemistry;BrJAC--Braz. J. Anal. Chem.
Brain Research;Brain Res.
Breast Cancer Management;Breast Cancer Manage.
British Journal of Nutrition;Br. J. Nutr.
British Journal of Pharmacology;Br. J. Pharmacol.
Bulletin of Environmental Contamination and Toxicology;Bull. Environ. Contam. Toxicol.
Bulletin of Materials Science;Bull. Mater. Sci.
Bulletin of the Chemical Society of Japan;Bull. Chem. Soc. Jpn.
Bulletin of the Korean Chemical Society;Bull. Korean Chem. Soc.
Bulletin of the Russian Academy of Sciences: Physics;Bull. Russ. Acad. Sci.: Phys.
Bunseki Kagaku;Bunseki Kagaku
CALPHAD: Computer Coupling of Phase Diagrams and Thermochemistry;CALPHAD: Comput. Coupling Phase Diagrams Thermochem.
CNS & Neurological Disorders: Drug Targets;CNS Neurol. Disord.: Drug Targets
CNS Oncology;CNS Oncol.
CPT: Pharmacometrics & Systems Pharmacology;CPT: Pharmacometrics Syst. Pharmacol.
Cailiao Rechuli Xuebao;Cailiao Rechuli Xuebao
Calcified Tissue International;Calcif. Tissue Int.
Canadian Journal of Chemical Engineering;Can. J. Chem. Eng.
Canadian Journal of Chemistry;Can. J. Chem.
Canadian Journal of Microbiology;Can. J. Microbiol.
Canadian Journal of Physics;Can. J. Phys.
Canadian Journal of Physiology and Pharmacology;Can. J. Physiol. Pharmacol.
Canadian Metallurgical Quarterly;Can. Metall. Q.
Canadian Mineralogist;Can. Mineral.
Cancer Cell;Cancer Cell
Cancer Gene Therapy;Cancer Gene Ther.
Cancer Genomics & Proteomics;Cancer Genomics Proteomics
Cancer Letters (New York, NY, United States);Cancer Lett. (N. Y., NY, U. S.)
Cancer Research;Cancer Res.
Cancer Science;Cancer Sci.
Carbohydrate Polymers;Carbohydr. Polym.
Carbohydrate Research;Carbohydr. Res.
Carbon;Carbon
Carbon Management;Carbon Manage.
Carcinogenesis;Carcinogenesis
Cardiovascular & Hematological Agents in Medicinal Chemistry;Cardiovasc. Hematol. Agents Med. Chem.
Cardiovascular & Hematological Disorders: Drug Targets;Cardiovasc. Hematol. Disord.: Drug Targets
Cardiovascular Research;Cardiovasc. Res.
Catalysis Communications;Catal. Commun.
Catalysis Letters;Catal. Lett.
Catalysis Reviews: Science and Engineering;Catal. Rev.: Sci. Eng.
Catalysis Science & Technology;Catal. Sci. Technol.
Catalysis Today;Catal. Today
Catalysts;Catalysts
Cell (Cambridge, MA, United States);Cell (Cambridge, MA, U. S.)
Cell Biochemistry and Biophysics;Cell Biochem. Biophys.
Cell Biochemistry and Function;Cell Biochem. Funct.
Cell Calcium;Cell Calcium
Cell Cycle;Cell Cycle
Cell Host & Microbe;Cell Host Microbe
Cell Metabolism;Cell Metab.
Cell Reports;Cell Rep.
Cell Stem Cell;Cell Stem Cell
Cell death and differentiation;Cell Death Differ.
Cellular Immunology;Cell. Immunol.
Cellular Microbiology;Cell. Microbiol.
Cellular Physiology and Biochemistry;Cell. Physiol. Biochem.
Cellular Polymers;Cell. Polym.
Cellular Reprogramming;Cell. Reprogramming
Cellular and Molecular Life Sciences;Cell. Mol. Life Sci.
Cellulose Chemistry and Technology;Cellul. Chem. Technol.
Cement & Concrete Composites;Cem. Concr. Compos.
Cement and Concrete Research;Cem. Concr. Res.
Central Nervous System Agents in Medicinal Chemistry;Cent. Nerv. Syst. Agents Med. Chem.
Ceramics International;Ceram. Int.
Ceramics-Silikaty;Ceram.-Silik.
Cereal Chemistry;Cereal Chem.
Ceska a Slovenska Farmacie;Ceska Slov. Farm.
ChemBioChem;ChemBioChem
ChemCatChem;ChemCatChem
ChemElectroChem;ChemElectroChem
ChemMedChem;ChemMedChem
ChemNanoMat;ChemNanoMat
ChemPhysChem;ChemPhysChem
ChemPlusChem;ChemPlusChem
ChemSusChem;ChemSusChem
Chemica Sinica;Chem. Sin.
Chemical & Pharmaceutical Bulletin;Chem. Pharm. Bull.
Chemical Biology & Drug Design;Chem. Biol. Drug Des.
Chemical Communications (Cambridge, United Kingdom);Chem. Commun. (Cambridge, U. K.)
Chemical Engineering & Technology;Chem. Eng. Technol.
Chemical Engineering Communications;Chem. Eng. Commun.
Chemical Engineering Journal (Amsterdam, Netherlands);Chem. Eng. J. (Amsterdam, Neth.)
Chemical Engineering Research and Design;Chem. Eng. Res. Des.
Chemical Engineering Science;Chem. Eng. Sci.
Chemical Engineering and Processing;Chem. Eng. Process.
Chemical Geology;Chem. Geol.
Chemical Papers;Chem. Pap.
Chemical Physics;Chem. Phys.
Chemical Physics Letters;Chem. Phys. Lett.
Chemical Record;Chem. Rec.
Chemical Research in Chinese Universities;Chem. Res. Chin. Univ.
Chemical Research in Toxicology;Chem. Res. Toxicol.
Chemical Reviews (Washington, DC, United States);Chem. Rev. (Washington, DC, U. S.)
Chemical Science;Chem. Sci.
Chemical Science Transactions;Chem. Sci. Trans.
Chemical Society Reviews;Chem. Soc. Rev.
Chemical Speciation and Bioavailability;Chem. Speciation Bioavailability
Chemical and Biochemical Engineering Quarterly;Chem. Biochem. Eng. Q.
Chemicke Listy;Chem. Listy
Chemico-Biological Interactions;Chem.-Biol. Interact.
Chemie Ingenieur Technik;Chem. Ing. Tech.
Chemie der Erde;Chem. Erde
Chemija;Chemija
Chemine Technologija (Kaunas, Lithuania);Chem. Technol. (Kaunas, Lith.)
Chemistry & Biodiversity;Chem. Biodiversity
Chemistry & Biology (Oxford, United Kingdom);Chem. Biol. (Oxford, U. K.)
Chemistry & Biology Interface;Chem. Biol. Interface
Chemistry & Industry (Chichester, United Kingdom);Chem. Ind. (Chichester, U. K.)
Chemistry - A European Journal;Chem. - Eur. J.
Chemistry - An Asian Journal;Chem. - Asian J.
Chemistry Journal of Moldova;Chem. J. Mold.
Chemistry Letters;Chem. Lett.
Chemistry and Physics of Lipids;Chem. Phys. Lipids
Chemistry and Technology of Fuels and Oils;Chem. Technol. Fuels Oils
Chemistry of Heterocyclic Compounds (New York, NY, United States);Chem. Heterocycl. Compd. (N. Y., NY, U. S.)
Chemistry of Materials;Chem. Mater.
Chemistry of Natural Compounds;Chem. Nat. Compd.
ChemistryOpen;ChemistryOpen
Chemometrics and Intelligent Laboratory Systems;Chemom. Intell. Lab. Syst.
Chemosphere;Chemosphere
Chemotherapy (Basel, Switzerland);Chemotherapy (Basel, Switz.)
Chimia;Chimia
Chimica e l'Industria (Milan, Italy);Chim. Ind. (Milan, Italy)
Chinese Chemical Letters;Chin. Chem. Lett.
Chinese Journal of Chemical Engineering;Chin. J. Chem. Eng.
Chinese Journal of Chemical Physics;Chin. J. Chem. Phys.
Chinese Journal of Chemistry;Chin. J. Chem.
Chinese Journal of Geochemistry;Chin. J. Geochem.
Chinese Journal of Polymer Science;Chin. J. Polym. Sci.
Chinese Journal of Structural Chemistry;Chin. J. Struct. Chem.
Chinese Physics C;Chin. Phys. C
Chirality;Chirality
Chromatographia;Chromatographia
Chromatography Research International;Chromatogr. Res. Int.
Chromosome Research;Chromosome Res.
Circulation Research;Circ. Res.
Clay Minerals;Clay Miner.
Clays and Clay Minerals;Clays Clay Miner.
Clean: Soil, Air, Water;Clean: Soil, Air, Water
Clinica Chimica Acta;Clin. Chim. Acta
Clinical cancer research: an official journal of the American Association for Cancer Research;Clin. Cancer Res.
Clinical Chemistry (Washington, DC, United States);Clin. Chem. (Washington, DC, U. S.)
Clinical Chemistry and Laboratory Medicine;Clin. Chem. Lab. Med.
Clinical Immunology (Amsterdam, Netherlands);Clin. Immunol. (Amsterdam, Neth.)
Clinical infectious diseases; Clin. Infect. Dis.
Clinical microbiology reviews;Clin. Microbiol. Rev.
Clinical Proteomics;Clin. Proteomics
Clinical and Experimental Pharmacology and Physiology;Clin. Exp. Pharmacol. Physiol.
Clinical and Vaccine Immunology;Clin. Vaccine Immunol.
Coatings;Coatings
Colloid Journal;Colloid J.
Colloid and Polymer Science;Colloid Polym. Sci.
Colloids and Surfaces, A: Physicochemical and Engineering Aspects;Colloids Surf., A
Colloids and Surfaces, B: Biointerfaces;Colloids Surf., B
Coloration Technology;Color. Technol.
Combinatorial Chemistry & High Throughput Screening;Comb. Chem. High Throughput Screening
Combustion Science and Technology;Combust. Sci. Technol.
Combustion and Flame;Combust. Flame
Comments on Inorganic Chemistry;Comments Inorg. Chem.
Communications in Soil Science and Plant Analysis;Commun. Soil Sci. Plant Anal.
Comparative Biochemistry and Physiology, Part A: Molecular & Integrative Physiology;Comp. Biochem. Physiol., Part A: Mol. Integr. Physiol.
Comparative Biochemistry and Physiology, Part B: Biochemistry & Molecular Biology;Comp. Biochem. Physiol., Part B: Biochem. Mol. Biol.
Comparative Biochemistry and Physiology, Part C: Toxicology & Pharmacology;Comp. Biochem. Physiol., Part C: Toxicol. Pharmacol.
Comparative Biochemistry and Physiology, Part D: Genomics & Proteomics;Comp. Biochem. Physiol., Part D: Genomics Proteomics
Comparative Medicine;Comp. Med.
Complex Metals;Complex Met.
Comptes Rendus Chimie;C. R. Chim.
Comptes Rendus Physique;C. R. Phys.
Computational & Theoretical Chemistry;Comput. Theor. Chem.
Computational Biology and Chemistry;Comput. Biol. Chem.
Computational Materials Science;Comput. Mater. Sci.
Computer Physics Communications;Comput. Phys. Commun.
Computers & Chemical Engineering;Comput. Chem. Eng.
Contrast Media & Molecular Imaging;Contrast Media Mol. Imaging
Contributions to Mineralogy and Petrology;Contrib. Mineral. Petrol.
Coordination Chemistry Reviews;Coord. Chem. Rev.
Corrosion (Houston, TX, United States);Corrosion (Houston, TX, U. S.)
Corrosion Engineering, Science and Technology;Corros. Eng., Sci. Technol.
Corrosion Reviews;Corros. Rev.
