,abbrev,full,freq,most_freq
0,$K$-Monogr.,['$K$-Monographs'],{'$K$-Monographs': 1.0},$K$-Monographs
1,-,"['Reinhaltung', 'Chromatography', 'the', '–', '--']","{'Reinhaltung': 0.2, 'Chromatography': 0.2, 'the': 0.2, '–': 0.2, '--': 0.2}",Reinhaltung
2,-geol.,"['-geologie', '-geologie']",{'-geologie': 1.0},-geologie
3,.,['Synopsis'],{'Synopsis': 1.0},Synopsis
4,.R.,"['Rendus', 'Rendus']",{'Rendus': 1.0},Rendus
5,1,"['Supplementum', 'pt.1:']","{'Supplementum': 0.5, 'pt.1:': 0.5}",Supplementum
6,11,"['Fisica', 'Fisica']",{'Fisica': 1.0},Fisica
7,1538-361X,['0886-4470'],{'0886-4470': 1.0},0886-4470
8,1953,['1953.'],{'1953.': 1.0},1953.
9,1976,['Society'],{'Society': 1.0},Society
10,2,"['Society', 'Society', 'di', 'Journal', 'scientifica.', '2:', 'Series']","{'Society': 0.2857142857142857, 'di': 0.14285714285714285, 'Journal': 0.14285714285714285, 'scientifica.': 0.14285714285714285, '2:': 0.14285714285714285, 'Series': 0.14285714285714285}",Society
11,3,"['Grenzgebiete', 'Society']","{'Grenzgebiete': 0.5, 'Society': 0.5}",Grenzgebiete
12,3rd,['3d.'],{'3d.': 1.0},3d.
13,4,"['Applicata', 'Supérieure', 'University', 'Wiskunde']","{'Applicata': 0.25, 'Supérieure': 0.25, 'University': 0.25, 'Wiskunde': 0.25}",Applicata
14,5,['Lettere'],{'Lettere': 1.0},Lettere
